name,year,attendee_count
Walt Disney Studios Paris,2006,2200000
Shanghai Disney Resort,2023,14000000
Shanghai Disney Resort,2022,5300000
Shanghai Disney Resort,2021,8480000
Shanghai Disney Resort,2020,5500000
Shanghai Disney Resort,2019,11210000
Shanghai Disney Resort,2018,11800000
Shanghai Disney Resort,2017,11000000
Shanghai Disney Resort,2016,5600000
Shanghai Disney Resort,2015,0
Disneyland Hong Kong,2023,6400000
Disneyland Hong Kong,2022,3400000
Disneyland Hong Kong,2021,2800000
Disneyland Hong Kong,2020,1700000
Disneyland Hong Kong,2019,5695000
Disneyland Hong Kong,2018,6700000
Disneyland Hong Kong,2017,6200000
Disneyland Hong Kong,2016,6100000
Disneyland Hong Kong,2015,6800000
Disneyland Hong Kong,2014,7500000
Disneyland Hong Kong,2013,7400000
Disneyland Hong Kong,2012,6700000
Disneyland Hong Kong,2011,5900000
Disneyland Hong Kong,2010,5200000
Disneyland Hong Kong,2009,4600000
Disneyland Hong Kong,2008,4500000
Disneyland Hong Kong,2007,4150000
Disneyland Hong Kong,2006,5200000
Six Flags Magic Mountain,2023,3400000
Six Flags Magic Mountain,2022,2993000
Six Flags Magic Mountain,2021,3047000
Six Flags Magic Mountain,2020,686000
Six Flags Magic Mountain,2019,3610000
Six Flags Magic Mountain,2018,3592000
Six Flags Magic Mountain,2017,3500000
Six Flags Magic Mountain,2016,3332000
Six Flags Magic Mountain,2015,3104000
Six Flags Magic Mountain,2014,2848000
Six Flags Magic Mountain,2013,2906000
Six Flags Magic Mountain,2012,2808000
Six Flags Magic Mountain,2011,2700000
Six Flags Magic Mountain,2010,2600000
Six Flags Magic Mountain,2009,2500000
Six Flags Magic Mountain,2006,2550000
Six Flags Great Adventure,2023,2500000
Six Flags Great Adventure,2022,2153000
Six Flags Great Adventure,2021,2913000
Six Flags Great Adventure,2020,598000
Six Flags Great Adventure,2019,3451000
Six Flags Great Adventure,2018,3400000
Six Flags Great Adventure,2017,3400000
Six Flags Great Adventure,2016,3220000
Six Flags Great Adventure,2015,3052000
Six Flags Great Adventure,2014,2800000
Six Flags Great Adventure,2013,2800000
Six Flags Great Adventure,2012,2650000
Six Flags Great America,2023,3000000
Six Flags Great America,2022,2535000
Six Flags Great America,2021,2675000
Six Flags Great America,2020,0
Six Flags Great America,2019,3169000
Six Flags Great America,2018,3107000
Six Flags Great America,2017,3107000
Six Flags Great America,2016,2950000
Six Flags Great America,2015,2793000
Six Flags Mexico,2023,2021000
Six Flags Mexico,2022,1727000
Six Flags Mexico,2021,1125000
Six Flags Mexico,2020,701000
Six Flags Mexico,2019,2803000
Six Flags Mexico,2018,2789000
Six Flags Mexico,2017,2610000
Six Flags Mexico,2016,2486000
Six Flags Mexico,2015,2368000
Six Flags Mexico,2014,2368000
Six Flags Mexico,2013,2345000
Six Flags Mexico,2012,2310000
Six Flags Mexico,2011,2200000
Six Flags Mexico,2010,2000000
Six Flags Mexico,2009,1950000
Six Flags Mexico,2008,2020000
Six Flags Mexico,2007,2030000
Six Flags Mexico,2006,2054000
Cedar Point,2023,4050000
Cedar Point,2022,3444000
Cedar Point,2021,3327000
Cedar Point,2020,1020000
Cedar Point,2019,3731000
Cedar Point,2018,3676000
Cedar Point,2017,3604000
Cedar Point,2016,3604000
Cedar Point,2015,3507000
Cedar Point,2014,3247000
Cedar Point,2013,3382000
Cedar Point,2012,3221000
Cedar Point,2011,3143000
Cedar Point,2010,3051000
Cedar Point,2009,2942000
Cedar Point,2008,3198000
Cedar Point,2007,3120000
Cedar Point,2006,3070000
Europa Park,2023,6000000
Europa Park,2022,6000000
Europa Park,2021,3000000
Europa Park,2020,2500000
Europa Park,2019,5750000
Europa Park,2018,5720000
Europa Park,2017,5700000
Europa Park,2016,5600000
Europa Park,2015,5500000
Europa Park,2014,5000000
Europa Park,2013,4900000
Europa Park,2012,4600000
Europa Park,2011,4500000
Europa Park,2010,4250000
Europa Park,2009,4250000
Europa Park,2008,4000000
Europa Park,2007,4000000
Europa Park,2006,3950000
Legoland Billund,2023,2350000
Legoland Billund,2022,2242000
Legoland Billund,2021,850000
Legoland Billund,2020,700000
Legoland Billund,2019,1950000
Legoland Billund,2018,1850000
Legoland Billund,2017,2200000
Legoland Billund,2016,2091000
Legoland Billund,2015,2050000
Legoland Billund,2014,1925000
Legoland Billund,2013,1800000
Legoland Billund,2012,1650000
Legoland Billund,2011,1600000
Legoland Billund,2010,1650000
Legoland Billund,2009,1650000
Legoland Billund,2008,1650000
Legoland Billund,2007,1610000
Legoland Billund,2006,1460000
Phantasialand,2023,2140000
Phantasialand,2022,2100000
Phantasialand,2021,1180000
Phantasialand,2020,1000000
Phantasialand,2019,2050000
Phantasialand,2018,2000000
Phantasialand,2017,1995000
Phantasialand,2016,1995000
Phantasialand,2015,1900000
Phantasialand,2014,1845000
Phantasialand,2013,1750000
Phantasialand,2012,1750000
Phantasialand,2011,1750000
Phantasialand,2010,1850000
Phantasialand,2009,1950000
Phantasialand,2008,1900000
Phantasialand,2007,1900000
Phantasialand,2006,1900000
Canada's Wonderland,2023,3232000
Canada's Wonderland,2022,3768000
Canada's Wonderland,2021,587000
Canada's Wonderland,2020,0
Canada's Wonderland,2019,3950000
Canada's Wonderland,2018,3798000
Canada's Wonderland,2017,3760000
Canada's Wonderland,2016,3723000
Canada's Wonderland,2015,3617000
Canada's Wonderland,2014,3546000
Canada's Wonderland,2013,3582000
Canada's Wonderland,2012,3655000
Canada's Wonderland,2011,3481000
Canada's Wonderland,2010,3380000
Canada's Wonderland,2009,3160000
Canada's Wonderland,2008,3380000
Canada's Wonderland,2007,3250000
Canada's Wonderland,2006,3230000
Kings Island,2023,3488000
Kings Island,2022,3340000
Kings Island,2021,3181000
Kings Island,2020,1626000
Kings Island,2019,3521000
Kings Island,2018,3486000
Kings Island,2017,3469000
Kings Island,2016,3384000
Kings Island,2015,3335000
Kings Island,2014,3238000
Kings Island,2013,3206000
Kings Island,2012,3206000
Kings Island,2011,3143000
Kings Island,2010,3112000
